start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,"- Hi, everybody, just before we start this week's show,"
00:00:02,00:00:03,we have a little announcement.
00:00:03,00:00:04,"- Yes, we do."
00:00:04,00:00:07,"I'm announcing that Andy, you need to just close your ears"
00:00:07,00:00:08,for a quick moment.
00:00:08,00:00:10,I just need to mention something privately to the listeners.
00:00:10,00:00:10,- Okay.
00:00:10,00:00:11,"- Obviously, I don't want Andy to hear this,"
00:00:11,00:00:14,"but I'm reading a new book at the moment called ""Bad Deeds"""
00:00:14,00:00:15,by Andrew Hunter Murray.
00:00:15,00:00:20,And it is so annoying 'cause it's kept me up extremely late
00:00:20,00:00:21,every night for the last seven days.
00:00:21,00:00:23,It's so gripping.
00:00:23,00:00:24,It's this new novel.
00:00:24,00:00:27,"It's a sequel to the last one that many of you might have read,"
00:00:27,00:00:28,breaking and entering.
00:00:28,00:00:29,"It doesn't matter if you haven't read it,"
00:00:29,00:00:31,it is also a brilliant standalone book.
00:00:31,00:00:35,"And it's an absolute page turner, thrilling stuff."
00:00:35,00:00:36,"Obviously, with a lot of the trademark,"
00:00:36,00:00:38,"Andrew Hunter Murray, wit."
00:00:38,00:00:41,I feel like I was watching an action film for parts of it.
00:00:41,00:00:42,It's amazing.
00:00:42,00:00:45,Get it now and now pretend I never said anything.
00:00:45,00:00:46,"Andy, you can open your ears again."
00:00:46,00:00:47,- Hello.
00:00:47,00:00:48,"- Hi, I was just having a private chat,"
00:00:48,00:00:49,but you've got a book out.
00:00:49,00:00:50,"- Yes, it's called ""Bad Deeds""."
00:00:50,00:00:51,It's out today.
00:00:51,00:00:53,We're recording this on the day of publication.
00:00:53,00:00:56,It's a thriller set between London's dodgy property market
00:00:56,00:00:58,and the wilds of rural Scotland.
00:00:58,00:01:01,"There's all sorts of skull dugory in Mayhem and ""Bad Deeds""."
00:01:01,00:01:02,"And the only other thing I'll say is,"
00:01:02,00:01:04,"if you're an audiobook sort of person,"
00:01:04,00:01:06,you might like to know that the person
00:01:06,00:01:08,who reads the audiobook is friend of the parish
00:01:08,00:01:11,"and former guest on this show, it's Phil Dunster."
00:01:11,00:01:13,And he doesn't absolutely terrific job.
00:01:13,00:01:15,"So if you like audiobooks, maybe give that a go."
00:01:15,00:01:17,- And where can people buy at grocery stores or?
00:01:17,00:01:19,"- Well, I would say your local independent bookshop,"
00:01:19,00:01:22,but I will accept any sale is terrific.
00:01:22,00:01:23,Thank you very much.
00:01:23,00:01:24,"So whether you're buying it offline or on,"
00:01:24,00:01:26,"but no, do pop down to your local bookshop"
00:01:26,00:01:31,and ask them for like 10 to 12 copies is a good start.
00:01:31,00:01:33,"- There you go, 10 to 12 copies of ""Bad Deeds""."
00:01:33,00:01:34,"Seriously, do it now."
00:01:34,00:01:35,You will not regret it.
00:01:35,00:01:37,"Okay, on with the show."
00:01:37,00:01:38,- On with the podcast.
00:01:38,00:01:41,(upbeat music)
00:01:41,00:01:43,(upbeat music)
00:01:43,00:01:55,- Hello and welcome to another episode
00:01:55,00:01:58,"with no such thing as a fish, a weekly podcast"
00:01:58,00:02:01,coming to you from the QI offices in Hobern.
00:02:01,00:02:02,My name is Dan Schreiber.
00:02:02,00:02:04,"I'm sitting here with Anna Toshinsky,"
00:02:04,00:02:06,Andrew Hunter Murray and James Harkin.
00:02:06,00:02:08,"And once again, we have gathered around the microphones"
00:02:08,00:02:11,with our four favorite facts from the last seven days.
00:02:11,00:02:14,"And in no particular order, here we go."
00:02:14,00:02:16,"Starting with fact number one, and that is James."
00:02:16,00:02:21,"- Okay, my fact this week is that in 17th century Sweden,"
00:02:21,00:02:24,Sami Shaman's had to work in secret.
00:02:24,00:02:27,"Unfortunately, most of their work involved constant drumming."
00:02:27,00:02:29,(laughing)
00:02:29,00:02:32,- Sami Shaman sounds like an end of the peer kind of magician.
00:02:32,00:02:34,- Yeah. (laughing)
00:02:34,00:02:35,- That's true.
00:02:35,00:02:37,"- Hi, it's Sami Shaman's"
00:02:37,00:02:39,and here is my magical drum
00:02:39,00:02:41,"because they did have magical drums, the Sami."
00:02:41,00:02:46,"They are a group of people who live in Norway, Sweden,"
00:02:46,00:02:48,Finland and Northern Russia.
00:02:48,00:02:49,And they still live there today.
00:02:49,00:02:52,"But they started off with Hunter Gatherers,"
00:02:52,00:02:57,went into reindeer herding and they move around with the reindeer.
00:02:57,00:02:58,But one of the most important people in the community
00:02:58,00:03:02,"was the Shaman, who is known as a no-idee."
00:03:02,00:03:05,And the no-idee would communicate between the worlds
00:03:05,00:03:07,by using this drum.
00:03:07,00:03:09,"And he would kind of bang, bang, bang and get in such a rhythm"
00:03:09,00:03:12,that he would get into some kind of weird sort of trance.
00:03:12,00:03:14,"And I say he, 'cause it was always a he."
00:03:14,00:03:16,And they felt like they could transform
00:03:16,00:03:19,"into other creatures, transform into the wind,"
00:03:19,00:03:20,all this kind of stuff.
00:03:20,00:03:24,And they were persecuted by Christian missionaries
00:03:24,00:03:26,"and the Christian missionaries just basically said,"
00:03:26,00:03:27,we're having that drum.
00:03:27,00:03:28,And they took the drums off them.
00:03:28,00:03:29,- Confiscated them.
00:03:29,00:03:31,"- Confiscated them, destroyed most of them."
00:03:31,00:03:32,"There's not many of them left,"
00:03:32,00:03:33,"but there is one in the British Museum,"
00:03:33,00:03:36,which is where I read about this whole story.
00:03:36,00:03:39,- They are engraved or painted with pictures.
00:03:39,00:03:42,And I think there's a way you can do divination
00:03:42,00:03:45,as in the Sami Shaman would strike the drum
00:03:45,00:03:48,with a hammer that is made of an engraved reindeer antler.
00:03:48,00:03:51,- These reindeer are very big to you.
00:03:51,00:03:52,And then that makes a little brass ring
00:03:52,00:03:54,that you've got dance across the surface of the drum.
00:03:54,00:03:58,"And how far it goes or what it lands on tells you,"
00:03:58,00:04:00,"or tells him, 'cause it is always a him."
00:04:00,00:04:02,(laughing)
00:04:02,00:04:03,- Woke hasn't yet.
00:04:03,00:04:06,"- Woke hasn't yet come for the Sami Shaman world, basically."
00:04:06,00:04:08,"And that tells you the future, you know."
00:04:08,00:04:11,"- Or I did read an account from 1674,"
00:04:11,00:04:13,which I think is the earliest account we have
00:04:13,00:04:16,"of more Southern people by a guy called John Sheffa,"
00:04:16,00:04:18,who said they also sometimes use the drums
00:04:18,00:04:21,to decide what animal to sacrifice to their gods.
00:04:21,00:04:23,So he said each drum would be covered
00:04:23,00:04:25,in lots of pictures of animals of birds and fish and stuff.
00:04:25,00:04:28,"And then there was a kind of a pole attached to the drum,"
