start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(ringing)
00:00:02,00:00:05,(speaking in foreign language)
00:00:05,00:00:08,(electronic music)
00:00:08,00:00:11,(upbeat music)
00:00:11,00:00:14,- Hello and welcome to another episode
00:00:14,00:00:17,"of no such thing as a fish, a weekly podcast."
00:00:17,00:00:19,This week coming to life
00:00:19,00:00:21,from the Royal Institution in London.
00:00:21,00:00:24,(audience cheering)
00:00:24,00:00:29,My name is Dan Schreiber.
00:00:29,00:00:31,"I am sitting here with Anna Tishinsky,"
00:00:31,00:00:33,"Andrew Hunter Murray, and James Harkin."
00:00:33,00:00:35,"And once again, we have gathered around the microphones"
00:00:35,00:00:38,with our four favorite facts from the last seven days
00:00:38,00:00:41,"and in no particular order, here we go."
00:00:41,00:00:44,"Starting with fact number one, and that is Anna."
00:00:44,00:00:46,- My fact this week is that the first woman
00:00:46,00:00:48,to be awarded the Nobel Peace Prize
00:00:48,00:00:51,was Alfred Nobel's housekeeper.
00:00:51,00:00:53,(audience laughing)
00:00:53,00:00:54,- Oh wow.
00:00:54,00:00:56,- A Nipo Prize.
00:00:56,00:00:56,- Yes.
00:00:56,00:00:57,- Exactly.
00:00:57,00:01:00,- Kind of domestic peace that she was keeping
00:01:00,00:01:01,or making.
00:01:01,00:01:02,- That peace.
00:01:02,00:01:03,- She kept him chill.
00:01:03,00:01:04,- Grand.
00:01:04,00:01:07,"- It wasn't, it was sort of a coincidence."
00:01:07,00:01:08,This is this amazing woman
00:01:08,00:01:09,called Bertha von Sutner.
00:01:09,00:01:12,She won the Nobel Peace Prize in 1905
00:01:12,00:01:17,"as she was a second female Nobel laureate after, of course."
00:01:17,00:01:17,- Mercury.
00:01:17,00:01:19,- Yep.
00:01:19,00:01:21,And it's not that kind of show.
00:01:21,00:01:22,(audience laughing)
00:01:22,00:01:23,- I think it is.
00:01:23,00:01:24,It is now.
00:01:24,00:01:25,- It is.
00:01:25,00:01:25,- Yeah.
00:01:25,00:01:29,"- And Bizarre Lee, before she won the Nobel Peace Prize,"
00:01:29,00:01:31,"age 30, she had become a governess."
00:01:31,00:01:33,So she was a very posh Austrian woman
00:01:33,00:01:35,with no money whatsoever.
00:01:35,00:01:37,And so she needed to go out and make money.
00:01:37,00:01:42,She became a governess to the von Sutner daughters.
00:01:42,00:01:45,"And that's quite a spoiler alert because her say name,"
00:01:45,00:01:47,it's obviously the same as their surname.
00:01:47,00:01:50,"But she fell madly in love with the son,"
00:01:50,00:01:53,"who was seven years younger than her, scandalous."
00:01:53,00:01:56,And it was very inappropriate and the family really disproved.
00:01:56,00:01:59,"So she said, ""Okay, I'll go away and I'll become a governess."""
00:01:59,00:02:02,"And she ended up answering an ad from Alfred Nobel,"
00:02:02,00:02:04,who's looking for someone to fill his lonely life up
00:02:04,00:02:06,and be his housekeeper.
00:02:06,00:02:09,And so she went and became his housekeeper for one week.
00:02:09,00:02:10,- Wow.
00:02:10,00:02:11,(laughing)
00:02:11,00:02:13,- Because actually she wasn't married at that time.
00:02:13,00:02:17,And she went to Nobel's house and then the boyfriend
00:02:17,00:02:20,"wrote to her saying, ""I can't be without you."""
00:02:20,00:02:23,"And she wrote back saying, ""I can't be without you."""
00:02:23,00:02:24,"- Well, hopefully that took about a week,"
00:02:24,00:02:26,because after a week she went back
00:02:26,00:02:28,"and then they got married in secret, didn't they?"
00:02:28,00:02:30,"- Oh, I was hoping after the two week period."
00:02:30,00:02:31,"She'd be like, ""Oh no, I've had two weeks now."""
00:02:31,00:02:33,"And actually, I can do without you."
00:02:33,00:02:34,- That's what's interesting.
00:02:34,00:02:36,- This was a boy who she'd been governessing.
00:02:36,00:02:39,"- No, she was governessing his sisters, 'cause a boy--"
00:02:39,00:02:40,- How old was he?
00:02:40,00:02:41,- 'Cause I think that's an important bit of that.
00:02:41,00:02:42,- They were both the age.
00:02:42,00:02:47,"- He was 23, and they had the most amazing relationship."
00:02:47,00:02:48,"I mean, it really is."
00:02:48,00:02:50,"I actually read her autobiography,"
00:02:50,00:02:51,which is available freely online.
00:02:51,00:02:53,And they were proper soulmates.
00:02:53,00:02:55,"You know, mad enough, parents said you can't do it."
00:02:55,00:02:57,"Within a week, they were both like, ""I'm gonna die."""
00:02:57,00:02:58,"He was saying, ""I'm gonna commit suicide."
00:02:58,00:02:59,"I need you to be with me."""
00:02:59,00:03:00,And they married.
00:03:00,00:03:02,"And she always says in her autobiography,"
00:03:02,00:03:03,she went through a lot of stuff.
00:03:03,00:03:06,"But throughout it all, I could never be really unhappy"
00:03:06,00:03:09,because I always had him there by my side.
00:03:09,00:03:11,"So, you know, it wasn't like one of the,"
00:03:11,00:03:13,'cause you can imagine everyone was really disapproving
00:03:13,00:03:14,at the time.
00:03:14,00:03:16,"Everyone was like, ""It'll never fucking last."""
00:03:16,00:03:17,"Oh, what an idiot."
00:03:17,00:03:18,And it did.
00:03:18,00:03:21,- Did you see how her family lost all their money?
00:03:21,00:03:23,"'Cause she was from quite a posh family,"
00:03:23,00:03:24,but they had no money.
00:03:24,00:03:26,"And that was one reason they couldn't get together,"
00:03:26,00:03:28,'cause there was a big social difference.
00:03:28,00:03:31,Apparently her mother and aunt both thought
00:03:31,00:03:32,they were clairvoyant.
00:03:32,00:03:35,And they went gambling and lost all their money.
00:03:35,00:03:37,"- Really? - They were like,"
00:03:37,00:03:39,"""Okay, they're saying to put it all on black."
00:03:39,00:03:41,"They're saying to put, ""Oh, not again."""
00:03:41,00:03:42,- And that's how they lost it.
00:03:42,00:03:43,- That's how they lost it.
00:03:43,00:03:44,- What a spirit gave them the wrong.
00:03:44,00:03:47,"- It seems to be the wrong suggestion of all on red,"
00:03:47,00:03:48,all on red.
00:03:48,00:03:49,Is that what you mean?
00:03:49,00:03:50,- Yeah. - Yeah.
00:03:50,00:03:51,- That is insane.
00:03:51,00:03:56,"- So basically, she stayed in contact with Nobel,"
